"Value of Exports (including re-exports) - fob - SF1 (Annual-Jun)",""
"","Total Exports Plus Re-Exports"
1952,508396.0
1953,488364.0
1954,483130.0
1955,479422.0
1956,540452.0
1957,550508.0
1958,543066.0
1959,521166.0
1960,629018.0
1961,561214.0
1962,580928.0
1963,617914.0
1964,735982.0
1965,736912.0
1966,761303.0
1967,725536.0
1968,801197.0
1969,987518.0
1970,1087024.0
1971,1131103.0
1972,1376592.0
1973,1786989.0
1974,1787563.0
1975,1612606.0
1976,2371605.0
1977,3216314.0
1978,3309112.0
1979,4068611.0
1980,5151990.0
1981,6035105.0
1982,6940260.2
1983,7935407.4
1984,8623850.2
1985,11315802.2
1986,10571746.7
1987,12107216.9
1988,12451521.7
1989,14905379.2
1990,15163514.6
1991,15768428.3
1992,17840289.4
1993,18971224.3
1994,19827056.5
1995,20790376.4
1996,20545733.6
1997,21033191.8
1998,21941031.3
1999,22581768.8
2000,26111196.9
2001,31999885.9
2002,32331654.9
2003,29291151.9
2004,29864436.3
2005,30617904.5
2006,32430464.9
2007,34933621.3
2008,40028146.3
2009,43028288.8
2010,40669469.3
2011,46072276.3
2012,46688062.5
2013,45704290.1
2014,51161136.4
2015,48396163.2
2016,49324864.2
2017,49875721.1
"Table information:"
"Units:"
"$, Magnitude = Thousands"
""
"Footnotes:"
"FOB - Free On Board (the value of goods at New Zealand ports before export)."
"Merchandise Trade - Exports or imports of goods that alter the nation's stock of material resources. Includes goods leased for a year or more. Excludes goods for repair."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"EXP020AA"
""
"Last updated:"
"26 September 2017 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
