Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",1999,1999,tonnes,176000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2000,2000,tonnes,183000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2001,2001,tonnes,172000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2002,2002,tonnes,178000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2003,2003,tonnes,164000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2004,2004,tonnes,149000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2005,2005,tonnes,148000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2006,2006,tonnes,133000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2007,2007,tonnes,133100,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2008,2008,tonnes,127618,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2009,2009,tonnes,148495,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2010,2010,tonnes,128379,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2011,2011,tonnes,122486,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2012,2012,tonnes,119715,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2013,2013,tonnes,118228,,Official data
QP,Livestock Processed,10,Australia,5510,Production,886,"Butter, cow milk",2014,2014,tonnes,116124,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",1999,1999,tonnes,335447,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2000,2000,tonnes,373000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2001,2001,tonnes,376000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2002,2002,tonnes,412000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2003,2003,tonnes,379000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2004,2004,tonnes,384000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2005,2005,tonnes,388000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2006,2006,tonnes,373000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2007,2007,tonnes,363817,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2008,2008,tonnes,360854,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2009,2009,tonnes,342016,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2010,2010,tonnes,349271,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2011,2011,tonnes,338680,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2012,2012,tonnes,340340,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2013,2013,tonnes,338312,,Official data
QP,Livestock Processed,10,Australia,5510,Production,901,"Cheese, whole cow milk",2014,2014,tonnes,311460,,Official data
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,1999,1999,tonnes,14995,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,2000,2000,tonnes,11435,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,2001,2001,tonnes,13995,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,2002,2002,tonnes,17782,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,2003,2003,tonnes,20421,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,2004,2004,tonnes,26796,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,2005,2005,tonnes,20893,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,885,Cream fresh,2006,2006,tonnes,17410,Im,FAO data based on imputation methodology
