International tourism compared with selected primary exports (Annual-Mar),,
,"Dairy products, including casein",International tourism expenditure
1999,4703,5999
2000,4460,7122
2001,6167,8169
2002,7491,8989
2003,5919,9494
2004,5707,9603
2005,5678,9987
2006,5884,10065
2007,7332,10597
2008,9277,10943
2009,9975,10857
2010,8972,10245
2011,11576,10025
2012,12704,10094
2013,12349,9898
2014,15896,10345
2015,14168,12114
2016,12346,14486
Table information:,,
Units:,,
"$, Magnitude = Millions",,
,,
Footnotes:,,
 ,,
Symbols:,,
.. figure not available,,
C: Confidential,,
E: Early Estimate,,
P: Provisional,,
R: Revised,,
S: Suppressed,,
,,
Status flags are not displayed,,
,,
Table reference: ,,
TSA036AA,,
,,
Last updated:,,
26 October 2016 10:45am,,
,,
Source: Statistics New Zealand,,
Contact: Information Centre,,
Telephone: 0508 525 525,,
Email:info@stats.govt.nz,,
